name,url,upwork
BBVA,https://ar.linkedin.com/company/bbva?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
LG Electronics,https://ar.linkedin.com/company/lg-electronics?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Nielsen,https://ar.linkedin.com/company/nielsen?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Kimberly-Clark,https://ar.linkedin.com/company/kimberly-clark?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Amdocs,https://ar.linkedin.com/company/amdocs?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Sony Music Entertainment,https://ar.linkedin.com/company/sony-music-entertainment?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Globant,https://ar.linkedin.com/company/globant?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Uber,https://ar.linkedin.com/company/uber-com?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Inetum,https://ar.linkedin.com/company/inetum?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
WEG,https://ar.linkedin.com/company/weg?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Fortinet,https://ar.linkedin.com/company/fortinet?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
WTW,https://ar.linkedin.com/company/wtwcorporate?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Spring Professional,https://ar.linkedin.com/company/spring-professional?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
GlobalLogic,https://ar.linkedin.com/company/globallogic?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
COTO,https://ar.linkedin.com/company/coto-cicsa?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Atlas Copco,https://ar.linkedin.com/company/atlas-copco?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Revista Empleo,https://ar.linkedin.com/company/revistaempleo?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Xerox,https://ar.linkedin.com/company/xerox?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Alicorp,https://ar.linkedin.com/company/alicorpoficial?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
VML,https://ar.linkedin.com/company/vml?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Tetra Pak,https://ar.linkedin.com/company/tetra-pak?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
BTG Pactual,https://ar.linkedin.com/company/btgpactual?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
IFC - International Finance Corporation,https://ar.linkedin.com/company/ifclinkedin?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Orange Business,https://ar.linkedin.com/company/orange-business?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Barrick Gold Corporation,https://ar.linkedin.com/company/barrick-gold-corporation?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Randstad Argentina,https://ar.linkedin.com/company/randstad-argentina?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
ESPN,https://ar.linkedin.com/company/espn?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Atento,https://ar.linkedin.com/company/atento?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Banco Interamericano de Desarrollo,https://ar.linkedin.com/company/inter-american-development-bank?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Braskem,https://ar.linkedin.com/company/braskem?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Hapag-Lloyd AG,https://ar.linkedin.com/company/hapag-lloyd-ag?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Remote,https://ar.linkedin.com/company/remote.com?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Net2Source Inc.,https://ar.linkedin.com/company/n2s-global?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
TrabajoBA - Secretaría de Trabajo y Empleo,https://ar.linkedin.com/company/secretaria-de-trabajo-y-empleo-trabajoba?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Yara International,https://ar.linkedin.com/company/yara?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Kavak.com,https://ar.linkedin.com/company/kavakcom?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
BBVA en Argentina,https://ar.linkedin.com/company/bbva-argentina?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
